# Lunar Core 2.4.0 Handbook
# Created 2024/07/31 19:31:06


# Commands
/account {create | delete} [username] (reserved player uid). 创建或删除帐户。
/avatar {cur | all | lineup} lv(level) p(ascension) e(eidolon) s(skill levels). 设置当前角色的属性
/clear {relics | lightcones | materials | items} lv(filter level). 从目标玩家的库存中移除过滤物品。
/energy. 补充当前阵容中的所有角色能量。
/gender {male | female}。设置玩家性别。
/give [item id] x(amount) lv(level) r(rank) p(promotion). 给予目标玩家一件物品。
/giveall {materials | avatars | lightcones | relics | usables} lv(level). 向目标玩家提供物品。
/heal. 治疗你的角色。
/help. 显示可用命令的列表。
/kick @[player id]. 将一名玩家踢出服务器。
/lineup [avatar ids]. 使用风险自负！使用指定的头像 ID 设置您当前的阵容。
/mail [content]. 向目标玩家发送系统邮件。
250403 : 空间站「黑塔」的资格徽章
250404 : 大矿区的资格徽章
250500 : null
250501 : null
250502 : null
250503 : null
250504 : null
250505 : null
250506 : null
250507 : null
250508 : null
250509 : null
250510 : null
250511 : null
250512 : null
250513 : null
250514 : null
250515 : null
250516 : null
250517 : null
250518 : null
250519 : null
250520 : null
250521 : null
250522 : null
250523 : null
250524 : null
250525 : null
250526 : null
250527 : null
250528 : null
250529 : null
250530 : null
250531 : null
250532 : null
250533 : null
250534 : null
250535 : null
250536 : null
250537 : null
250538 : null
250539 : null
250540 : null
250541 : null
250542 : null
250543 : null
250544 : null
250545 : null
250546 : null
250547 : null
250548 : null
250549 : null
250550 : null
250551 : null
250552 : null
250553 : null
250554 : null
250555 : null
250556 : null
250557 : null
250558 : null
250559 : null
250560 : null
250561 : null
250562 : null
250563 : null
250564 : null
250565 : null
250566 : null
250567 : null
250568 : null
250569 : null
250570 : null
250571 : null
250572 : null
250573 : null
250574 : null
250575 : null
250576 : null
250577 : null
250578 : null
250579 : null
250580 : null
250581 : null
250582 : null
250583 : null
250584 : null
250585 : null
250586 : null
250587 : null
250588 : null
250589 : null
250590 : null
250591 : null
250592 : null
250593 : null
250594 : null
250595 : null
250596 : null
250597 : null
250598 : null
250599 : null
250601 : 庸者的前路
250602 : 黑塔•典藏版
270000 : 笑口常开
270001 : 商业活力证明
270002 : 打赏积分
281001 : 商会储值金
281002 : null
281003 : 营养膏
281004 : null
281005 : 顾客小费
281012 : test_<unbreak>1.4</unbreak>肉鸽扑满券
281013 : 神经脉冲
281014 : 普通骰子
281015 : 开拓券
281016 : 遥控骰子
281017 : 重抛硬币
281018 : 灵感
281019 : 浣熊硬币
281022 : 拟合值
281023 : null
281024 : null
300002 : 命途行者的赠礼
300003 : 命途行者的隆重赠礼
300011 : 星海宝藏
300020 : 忆持光匣
300021 : 花火妙妙包
300031 : 群星之礼
300041 : 后勤材料箱 • 标准型
300042 : 后勤材料箱 • 专业型
300051 : 逾期未取的邮包
300052 : 逾期未取的贵重邮包
300101 : 列车补给凭证
300102 : 无名客的荣勋（未拆封)
300103 : 无名客的奖章（未拆封）
300104 : 荣勋授章（未拆封)
300200 : 《冒险鼹鼠队：隐形的宝藏》
300201 : null
300202 : 信甩点
309001 : 旅程之遇：「以太战线」
309002 : 旅程之遇：「哈努兄弟越狱记」
309003 : 旅程之遇：「杯中逸事」
309004 : 旅程之遇：「折纸小鸟对对碰」
310001 : 黑塔 • 开拓支援协议
310002 : 黑塔 • 燃料补充协议
310003 : 黑塔 • 冒险共享协议
310004 : 黑塔 • 漫游共享协议
310005 : 黑塔 • 以太补充协议
310006 : 黑塔 • 材料支持协议
310007 : 《崩坏：星穹铁道》启程礼包（限定）
310008 : 《崩坏：星穹铁道》启程礼包
310009 : 《崩坏：星穹铁道》登录礼包
310010 : 黑塔 • 材料支持协议V2
310011 : 黑塔 • 漫游补充协议
400004 : 果腹粮食
400005 : 惩戒粮食
400006 : 奇巧零食
400007 : 简易抢救器
400008 : 星芋啵啵
401003 : 大宇宙炒饭
401004 : 难吃的炒饭
401005 : 惩戒能量
401006 : 能量饮料
401007 : 生命传输器
401008 : 罐装快乐水
401009 : 简易护具
401010 : 稻花
401011 : 迷彩油漆
401012 : 健康炒米
401013 : 愤怒拳套
401014 : 果木炙烤夏塔恩恐鸟翅根
401015 : 烈焰浓茶
401016 : 不求人
401017 : 油爆飞海葵
401018 : 琥珀花雕
401019 : 可口的烧麦
401020 : 可口的豆沙饼
401021 : 钟表披萨（单片）
401022 : 切片蛋糕「仰望星空」
401023 : 「鲱鱼先生」柠檬挞
401024 : 百层圣代（零卡）
401025 : 经典苏乐达
401026 : 「酸梦」牌软糖
401027 : 「彩梦」什锦糖果
401028 : 片刻自由
402001 : 愈合喷剂
402002 : 一次性防护壁
402003 : 能量饮料（无糖）
402004 : 反物质力场生成器
402005 : 科技护具
402006 : 劣质护具
402007 : 美味快餐棒
402008 : 疾速粉尘
402009 : 强化膏：物理
402010 : 强化膏：风
402011 : 强化膏：火
402012 : 强化膏：冰
402013 : 强化膏：雷
402014 : 强化膏：量子
402015 : 强化膏：虚数
402016 : 催吐剂
402017 : 你好剂
402018 : 雪原大乱炖
402019 : 念经机
402020 : 五谷玉液
402021 : 岐黄解毒丸
402022 : 玉髓风骨散
402023 : 帕帕炸禽肉
402024 : 稚童香橘丸
402025 : 苜蓿色拉
402026 : 选择背叛的刹那
402027 : 一瞬间的幸福
402028 : 疑虑的阴云
403001 : 一次性动力臂
403002 : 露比冲剂
403003 : 一次性动力炮
403004 : 永冬碑石
403005 : 拓扑加速带
403006 : 万寿无情丹
403007 : 糖球炒视肉
403008 : 自动木人桩
403009 : 弥留之际
403010 : 热烈的气氛
403011 : 惊吓盒子
404004 : 配方：果腹粮食
404005 : 配方：惩戒粮食
404006 : 配方：奇巧零食
404007 : 配方：简易抢救器
404008 : 配方：星芋啵啵
405003 : 配方：大宇宙炒饭
405004 : 配方：难吃的炒饭
405005 : 配方：惩戒能量
405006 : 配方：能量饮料
405007 : 配方：生命传输器
405008 : 配方：罐装快乐水
405009 : 配方：简易护具
405010 : 配方：稻花
405011 : 配方：迷彩油漆
405012 : 配方：健康炒米
405013 : 配方：愤怒拳套
405014 : 配方：果木炙烤夏塔恩恐鸟翅根
405015 : 配方：烈焰浓茶
405016 : 配方：不求人
405017 : 配方：油爆飞海葵
405018 : 配方：琥珀花雕
405019 : 配方：可口的烧麦
405020 : 配方：可口的豆沙饼
405021 : 配方：钟表披萨（单片）
405022 : 配方：切片蛋糕「仰望星空」
405023 : 配方：「鲱鱼先生」柠檬挞
405024 : 配方：百层圣代（零卡）
405025 : 配方：经典苏乐达
405026 : 配方：「酸梦」牌软糖
405027 : 配方：「彩梦」什锦糖果
405028 : 配方：片刻自由
406001 : 配方：愈合喷剂
406002 : 配方：一次性防护壁
406003 : 配方：能量饮料（无糖）
406004 : 配方：反物质力场生成器
406005 : 配方：科技护具
406006 : 配方：劣质护具
406007 : 配方：美味快餐棒
406008 : 配方：疾速粉尘
406009 : 配方：强化膏：物理
406010 : 配方：强化膏：风
406011 : 配方：强化膏：火
406012 : 配方：强化膏：冰
406013 : 配方：强化膏：雷
406014 : 配方：强化膏：量子
406015 : 配方：强化膏：虚数
406016 : 配方：催吐剂
406017 : 配方：你好剂
406018 : 配方：雪原大乱炖
406019 : 配方：念经机
406020 : 配方：五谷玉液
406021 : 配方：岐黄解毒丸
406022 : 配方：玉髓风骨散
406023 : 配方：帕帕炸禽肉
406024 : 配方：稚童香橘丸
406025 : 配方：苜蓿色拉
406026 : 配方：选择背叛的刹那
406027 : 配方：一瞬间的幸福
406028 : 配方：疑虑的阴云
407001 : 配方：一次性动力臂
407002 : 配方：露比冲剂
407003 : 配方：一次性动力炮
407004 : 配方：永冬碑石
407005 : 配方：拓扑加速带
407006 : 配方：万寿无情丹
407007 : 配方：糖球炒视肉
407008 : 配方：自动木人桩
407009 : 配方：弥留之际
407010 : 配方：热烈的气氛
407011 : 配方：惊吓盒子
408001 : 垃圾
408002 : 好看的垃圾
408003 : 垃圾桶的尊严
408004 : 吉姆•罗杰面包味汽水
408005 : 卡利白
408201 : 貘馍卷
408202 : 琼实鸟串
408203 : 黑面包汽水冰山
408204 : 岩烧山珍串
408205 : 斗舰福牌
408206 : 大还丹
408207 : 小还丹
408208 : 报纸
408401 : 冷吃夕红鱼
408402 : 宝石蜥肉串
408403 : 杂菜汤
408404 : 炸岩居蟹
408405 : 苏打豆汁儿
408406 : 鳞渊冰泉
408407 : 鸣藕糕
408408 : 热浮羊奶
408409 : 霜纹鲑面包
408410 : 好梦气泡饮
408411 : 水雷蕈
408412 : 干制应急灯
408413 : 清净拂尘
408414 : 浮羊和胃汤
408415 : 爆米花
408416 : 食欲如雷鸣炸响
408417 : 展望美好未来
408418 : 美梦糖浆
408419 : 天环翅堡
408420 : 妄想积木
408421 : 「空洞小鸟」玩偶
408422 : 正宗苏萨水
408423 : 垃圾气泡水
408424 : 聚散有时
408425 : 阿斯德纳白橡木
408426 : 信任的证明
408427 : 铁窗牌沐浴露
408428 : 十王还命散
408601 : 贝洛伯格红肠
408602 : 岩烧洞螈
408603 : 仙人快乐茶
408604 : 养心返魂丹
408605 : 招牌红油乱斩牛杂
408606 : 太阳薄饼
408607 : 安眠锤
408608 : 出云味噌
408609 : 飞碟堡
408610 : 钟表披萨（整张）
408611 : 薯条圣代
408612 : 橡木蛋糕卷
408613 : 噼咔白葡萄汽水
408614 : 凶手的眼神
408615 : 至死不渝的恨
408616 : 恒久忍耐
408617 : 决斗翎羽
408618 : 寂灭华服
408619 : 狂野头套
408620 : 美梦小镇特调
408621 : 美梦镭射票
408622 : 怪怪软糖
408623 : 折纸全家桶
408624 : 五色斑斓的酸
408625 : 不可解魔方
408626 : 断弦咆哮
408627 : 无声自满
408628 : 「花火」珍藏不限量版玩偶
408629 : 金钢镚骑士团
408630 : 金钢镚骑士团
408631 : 神偷的触手
408632 : 铁窗牌药王口服液
408801 : 美梦脆筒（三种口味）
408802 : 孤注一掷


# Props (Spawnable)
1 : 
2 : 
3 : 
100 : 
101 : 界域定锚
102 : 
103 : 空间裂隙
104 : 
105 : 
106 : 调查
107 : 
108 : 
109 : 
110 : 
111 : 调查
113 : 历战余响
114 : 
115 : 
117 : 家用寻物仪
119 : 
120 : 
121 : 
122 : 
123 : 
124 : 
131 : 
132 : 
133 : 
134 : 
135 : 
136 : 
137 : 
138 : 
139 : 
140 : 
211 : 
217 : 
218 : 
220 : 
301 : 
302 : 
303 : 
304 : 
701 : 凝滞虚影
702 : 凝滞虚影
703 : 凝滞虚影
801 : 拟造花萼
808 : 拟造花萼
901 : 侵蚀隧洞
902 : 永冬岭
905 : 
907 : 
908 : 
909 : 
910 : 
911 : 
912 : 
913 : 
914 : 
916 : 
1000 : 退出「模拟宇宙」
1001 : 下载装置
1002 : 复活装置
1003 : 「模拟宇宙」
1004 : 沉浸奖励
1005 : 图鉴装置
1006 : 
1007 : 
1021 : 
1022 : 
1023 : 
1024 : 
1025 : 「差分宇宙」
1026 : 觐见装置
1027 : 
1028 : 
1029 : 
1030 : 
1031 : 
1032 : 
1033 : 退出「差分宇宙」
1034 : 
1035 : 
1036 : 
1037 : 
1038 : 造物调试台
1039 : 
1040 : 
1041 : 
1042 : 
1043 : 
1044 : 
1045 : 
1046 : 
1047 : 
1048 : 
1049 : 
1050 : 
1051 : 
1052 : 
2000 : 售卖机
2001 : 留声机
2002 : 万能合成机
2003 : 
2004 : 
2005 : 
2006 : 
2007 : 
3000 : 探索虚数浅龋
3001 : 探索虚数深龋
3002 : 维生定锚
60001 : 普通战利品
60002 : 丰厚战利品
60003 : 贵重战利品
60004 : 普通战利品
60005 : 丰厚战利品
60006 : 贵重战利品
60101 : 普通战利品
60102 : 丰厚战利品
60103 : 贵重战利品
60104 : 普通战利品
60105 : 丰厚战利品
60106 : 贵重战利品
60201 : 普通战利品
60202 : 丰厚战利品
60203 : 贵重战利品
60204 : 普通战利品
60205 : 丰厚战利品
60206 : 贵重战利品
60301 : 普通战利品
60302 : 丰厚战利品
60303 : 贵重战利品
60304 : 普通战利品
60305 : 丰厚战利品
60306 : 贵重战利品
60307 : 混沌药箱
100000 : 控制装置
100001 : 紧锁的门
100002 : 紧锁的门
100003 : 紧锁的门
100004 : 控制装置
100005 : 紧锁的门
100006 : 
100007 : 
100008 : 
100009 : 
100010 : 
100011 : 
100012 : 
100013 : 
100014 : 配控装置
100016 : 
100017 : 
100018 : 
100019 : 
100020 : 
100021 : 紧锁的门
100022 : 配控装置
100024 : 
100025 : 
100026 : 
100027 : 
100031 : 
100032 : 
100033 : 
100034 : 
100035 : 
100036 : 
100037 : 
100038 : 
100039 : 
100040 : 
100041 : 
100042 : 
100045 : 
100046 : 
100047 : 
100048 : 
100049 : 
100050 : 
100051 : 
100052 : 
100054 : 
100055 : 
100056 : 
100057 : 
100058 : 
100059 : 
100060 : 
100061 : 
100062 : 
100063 : 
100064 : 
100065 : 
100066 : 区域 - 战斗
100067 : 区域 - 事件
100068 : 区域 - 休整
100069 : 区域 - 首领
100070 : 
100071 : 
100072 : 
100073 : 
100074 : 控制装置
100075 : 紧锁的门
100076 : 紧锁的门
100077 : 
100078 : 控制装置
100079 : 紧锁的门
100080 : 
100081 : 
100082 : 
100083 : 访客登记簿
100084 : 
100085 : 
100086 : 
100087 : 
100088 : 紧锁的门
100089 : null
100090 : 涂鸦区域
100091 : 
100092 : 
100093 : 涂鸦区域
100094 : 涂鸦区域
100095 : 涂鸦区域
100096 : 
101001 : 控制装置
101003 : 控制装置
101004 : 紧锁的门
101005 : 紧锁的门
101006 : 紧锁的门
101007 : 
101008 : 升降台控制器
101010 : 
101011 : 
101012 : 控制装置
101013 : 紧锁的门
101015 : 
101016 : 
101017 : 
101018 : 
101019 : 紧锁的门
101020 : 
101021 : 
101022 : 售货机
101024 : 餐车
101025 : 餐车
101026 : 
101027 : 
101028 : 
101029 : 
101030 : 
101031 : 
101032 : 
101033 : 
101034 : 
101035 : 
101039 : 
101042 : 
101043 : 
101044 : 
101045 : 
101046 : 
101047 : 
101048 : 
101049 : 
101050 : 
101051 : 
101052 : 
101053 : 
101054 : 
101055 : 
101056 : 
101057 : 
101058 : 
101059 : 
101060 : 
101061 : 
101062 : 
101063 : 
101064 : 
101065 : 
101066 : 
101067 : 
101068 : 
101069 : 
101070 : 
101071 : 
101072 : 
101073 : 
101074 : 
101075 : 
101076 : 
101077 : 
101078 : 
101080 : 
101081 : 
102000 : 门锁
102001 : 紧锁的门
102002 : 紧锁的门
102003 : 
102004 : 
102005 : 
102006 : 
102007 : 
102008 : 
102009 : 
102010 : 
102011 : 
102012 : 
102013 : 枢控台
102014 : 枢控台
102015 : 
102016 : 
102017 : 
102018 : 
102019 : 
102025 : 
102027 : 
102028 : 
102029 : 
102032 : 
102033 : 
102034 : 
102035 : 
102036 : 
102037 : 
102039 : 
102040 : 
102041 : 
102043 : 
102044 : 
102045 : 
102046 : 
102047 : 
102048 : 
102049 : 
102050 : 
102051 : 
102052 : 
102053 : 
102054 : 
102055 : 
102058 : 
102059 : 
102061 : 
102062 : 
102063 : 
102064 : 
102065 : 
102066 : 
102067 : 时刻表
102068 : 
102069 : 
102070 : 
102071 : 
102072 : 
102073 : 
102074 : 
102075 : 
102076 : 
102077 : 引航罗盘
102078 : 
102079 : 
102080 : 
102081 : 
102082 : 
102083 : 
102085 : 
102086 : 
102087 : 
102088 : 
102089 : 
102090 : 
102091 : 
102092 : 
102093 : 
102094 : 
102095 : 
102096 : 
102097 : 
102098 : 
102099 : 
102100 : 
102101 : 
102102 : 
102103 : 
102104 : 
102105 : 
102106 : 
102107 : 
102108 : 
102109 : 
102110 : 
102111 : 
102112 : 
102113 : 
102114 : 
102115 : 
102116 : 
102117 : 
102118 : 
102119 : 
102140 : 
102141 : 
102142 : 
102143 : 
102144 : 
102145 : 
102146 : 
102160 : 
102161 : 
102162 : 
102163 : 
102164 : 
102165 : 
102166 : 
102167 : 
102168 : 
102169 : 
102170 : 
102171 : 
102172 : 
102173 : 
102174 : 
102175 : 
102176 : 
102177 : 
102178 : 
102179 : 
102180 : 
102181 : 
102182 : 
102183 : 
102184 : 
102185 : 
102186 : 
102187 : 
102188 : 
102189 : 
102190 : 
102191 : 
102192 : 
102193 : 
102194 : 
102195 : 
102196 : 
102197 : 
102198 : 
102199 : 
102200 : 
102201 : 
102202 : 
102203 : 
102204 : 
102205 : 
102206 : 
102207 : 
102208 : 
102209 : 
102210 : 
102211 : 
102212 : 
102213 : 
102214 : 
102215 : 
102216 : 
102217 : 
102218 : 
102219 : 
102220 : 
102221 : 
102222 : 
102223 : 
102224 : 
102225 : 
102226 : 
102227 : 
102228 : 
102229 : 
102230 : 
102231 : 
102232 : 
102233 : 
102234 : 
102235 : 
102236 : 
102237 : 
102238 : 
102241 : 
102242 : 
102243 : 
102244 : 
102245 : 
102246 : 
102247 : 
102248 : 
102250 : 
102251 : 
102252 : 
102254 : 
102255 : 
102256 : 
102257 : 
102258 : 
102259 : 
102265 : 
102281 : 
103001 : 
103002 : 
103003 : 
103004 : 
103005 : 
103006 : 
103007 : 
103008 : 
103010 : 
103011 : 
103012 : 
103013 : 
103014 : 
103015 : 
103016 : 
103017 : 
103018 : 
103019 : 
103020 : 
103021 : 
103022 : 
103023 : 
103024 : 
103025 : 
103026 : 
103027 : 
103028 : 
103029 : 
103030 : 
103031 : 
103032 : 
103033 : 
103034 : 
103035 : 
103036 : 
103037 : 
103038 : 
103039 : 
103040 : 
103041 : 
103042 : 
103043 : 
103044 : 
103045 : 
103046 : 
103047 : 
103048 : 
103049 : 
103050 : 
103051 : 
103052 : 
103053 : 
103054 : 
103055 : 
103056 : 
103057 : 
103058 : 
103059 : 
103060 : 
103061 : 
103062 : 
103063 : 
103064 : 
103065 : 
103066 : 
103067 : 
103068 : 
103069 : 
103070 : 
103071 : 
103072 : 
103073 : 
103074 : 
103075 : 
103076 : 
103077 : 
103078 : 
103079 : 
103080 : 
103081 : 
103082 : 
103083 : 
103084 : 
103085 : 
103086 : 
103087 : 
103088 : 
103089 : 
103090 : 
103091 : 
103092 : 
103093 : 
103094 : 
103095 : 
103096 : 
103097 : 
103098 : 
103099 : 
103100 : 
103101 : 
103102 : 
103103 : 
103104 : 
103105 : 
103106 : 
103107 : 
103108 : 
103109 : 
103110 : 
103111 : 
103112 : 
103113 : 
103114 : 
103115 : 
103116 : 
103117 : 
103118 : 
103119 : 
103120 : 
103121 : 
103122 : 
103123 : 
103124 : 
103125 : 
103126 : 
103127 : 
103128 : 
103129 : 
103130 : 
103131 : null
103132 : 
103133 : 
103134 : 
103135 : 
103136 : 
103137 : 
103138 : 
103139 : 
103140 : 
103141 : 
103142 : 
103143 : 
103144 : 
103145 : 
103146 : 
103147 : 
103148 : 
103149 : 
103150 : 
103151 : 
103152 : 
103153 : 
103154 : 
103155 : 
103156 : 
103157 : 
103158 : 
103159 : 
103160 : 
103161 : 
103162 : 
103163 : 
103164 : 
103165 : 
103166 : 
103167 : 
103168 : 
103169 : 
103170 : 
103171 : 
103172 : 
103173 : 
103174 : 
103175 : 
103176 : 
103177 : 
103178 : 
103179 : 
103180 : 
103181 : 
103182 : 
103183 : 
103184 : 
103185 : 
103186 : 
103187 : 
103188 : 
103189 : 
103190 : 
103191 : 
103192 : 
103193 : 
103194 : 
103195 : 
103196 : 
103197 : 
103198 : 
103199 : 
103200 : 
103201 : 
103202 : 
103203 : 
103204 : 
103205 : 
103206 : 
103207 : 
103208 : 
103209 : 
103210 : 
103211 : 
103212 : null
103213 : 
103214 : 
103215 : 
103216 : 
103217 : 
103218 : 
103219 : 
103220 : 
103221 : 
103222 : 
103223 : 
103224 : 
103225 : 
103226 : 
103227 : 
103228 : 
103229 : 
103230 : 
103231 : 
103232 : 
103233 : 
103234 : 
103235 : 
103236 : 
103237 : 
103238 : 
103239 : 
103240 : 
103241 : 
103242 : 
103243 : 藏品展览
103244 : 
103245 : 
103246 : 
103247 : 
103248 : 
103249 : 
103250 : 
103251 : 
103252 : 
103253 : 
300000 : 
300001 : 
300002 : 
300003 : 
300004 : 
300005 : 
300006 : 
300007 : 
300008 : 
300009 : 
301000 : 雪堆
301001 : 
301002 : 机关能源中枢
301003 : 机关能源中枢
301004 : 
301005 : 
301010 : 损坏的无人机
301011 : 
301013 : 
301014 : 
301015 : 
301016 : 
301017 : 
301018 : 
301019 : 
301023 : 
301058 : 
301059 : 
301060 : 
301061 : 
301062 : 
301063 : 
301064 : 
301065 : 
301066 : 
301067 : 
301068 : 
301069 : 
301070 : 
301071 : 
301072 : 
301073 : 
301074 : 
301075 : 
301076 : 
301077 : 
301078 : 
301079 : 
301080 : 
301081 : 
301082 : 
9090008 : 
9103002 : 
9103003 : 
9103004 : 
9103005 : 
9103007 : 
9103008 : 
9103009 : 
9103010 : 
9103011 : 
9103012 : 
9103013 : 
9103014 : 
9103015 : 
9103017 : 
9103018 : 
9103019 : 
9103020 : 
9103021 : 
9103022 : 
9120018 : 
9120019 : 
9120020 : 
9120021 : 
9120031 : 
9120032 : 
9120033 : 
9120034 : 
9130003 : 
9200005 : 
9200006 : 
9200007 : 
9300001 : 
9300002 : 
9300003 : 
9999820 : 
9999834 : 


# NPC Monsters (Spawnable)
1002020 : 流浪者
1002030 : 银鬃炮手
1002040 : 银鬃近卫
1002050 : 银鬃射手
1003010 : 银鬃尉官
1003015 : 银鬃尉官（错误）
1003016 : 银鬃尉官
1004010 : 可可利亚
1004011 : 可可利亚（完整）
1004012 : 无望冽风的幻灭者
1004020 : 杰帕德
1004021 : 杰帕德（完整）
1004030 : 布洛妮娅
1012020 : 自动机兵「蜘蛛」
1012030 : 自动机兵「甲虫」
1013010 : 自动机兵「灰熊」
1013011 : 自动机兵「灰熊」（错误）
1013012 : 自动机兵「灰熊」（完整）
1013020 : 自动机兵「齿狼」
1013021 : 自动机兵「齿狼」
1013022 : 自动机兵「齿狼」（错误）
1014010 : 史瓦罗
1014011 : 史瓦罗（完整）
1022010 : 永冬灾影
1022020 : 火焚灾影
1023010 : 炽燃徘徊者
1023011 : 炽燃徘徊者（错误）
1023012 : 炽燃徘徊者
1023020 : 深寒徘徊者
1023021 : 深寒徘徊者
1023022 : 深寒徘徊者（错误）
2002010 : 云骑巡防士卒
2002030 : 幽府武弁
2004010 : 「星核猎手」卡芙卡
2004011 : 「星核猎手」卡芙卡（完整）
2004012 : 勾魂摄魄的支配者
2004020 : 云骑骁卫•彦卿
2004021 : 云骑骁卫•彦卿（完整）
2011010 : 入魔机巧 • 率从狻猊
2011020 : 入魔机巧 • 浓云金蟾
2012010 : 入魔机巧 • 灯昼龙鱼
2012011 : 入魔机巧 • 灯昼龙鱼
2013010 : 金人司阍
2013011 : 金人司阍
2013012 : 金人司阍（错误）
2013020 : 金人勾魂使
2013021 : 金人勾魂使
2013022 : 金人勾魂使（错误）
2022010 : 魔阴身士卒
2022011 : 魔阴身士卒
2022020 : 「药王秘传」内丹士
2022021 : 「药王秘传」内丹士
2022040 : 丰饶灵兽•娄金
2022050 : 丰饶灵兽•奎木
2022060 : 「药王秘传」器元士
2022061 : 「药王秘传」器元士
2022110 : 魔阴武弁
2023010 : 「药王秘传」炼形者
2023011 : 「药王秘传」炼形者
2023012 : 「药王秘传」炼形者（错误）
2023020 : 丰饶灵兽•长右
2023021 : 丰饶灵兽•长右
2023022 : 丰饶灵兽•长右（错误）
2023030 : 承露天人
2023031 : 承露天人
2023032 : 承露天人（错误）
2024010 : 丰饶玄鹿
2024011 : 丰饶玄鹿（完整）
2024020 : 浮烟
2024021 : 浮烟（完整）
2032010 : 玄爪狼卒
2032020 : 蚀月狼卒
2033010 : 咆哮灵柩
3001010 : 惊梦剧团的弹簧荷官
3001020 : 惊梦剧团的舞鸫假面
3001021 : 惊梦剧团的舞鸫假面
3002010 : 惊梦剧团的圆幕先生
3002011 : 惊梦剧团的圆幕先生
3002020 : 惊梦剧团的幸运贩售
3002030 : 惊梦剧团的气泡锂犬
3002040 : 惊梦剧团的发条暴徒
3002041 : 惊梦剧团的发条暴徒
3002050 : 王下一桶
3003010 : 惊梦剧团的十七分熟
3003011 : 惊梦剧团的十七分熟
3003012 : 惊梦剧团的十七分熟（错误）
3003013 : 惊梦剧团的十七分熟
3003020 : 惊梦剧团的甜猿泰山
3003021 : 惊梦剧团的甜猿泰山
3003022 : 惊梦剧团的甜猿泰山（错误）
3003030 : 「身陷樊笼的往昔」
3003031 : 「身陷樊笼的往昔」
3003032 : 「身陷樊笼的往昔」（错误）
3003040 : 「同音共律的来日」
3003041 : 昔在、今在、永在的剧目
3003042 : 「同音共律的来日」（错误）
3003050 : 「醉于盛会的此刻」
3003051 : 「醉于盛会的此刻」
3003052 : 「醉于盛会的此刻」（错误）
3003053 : 昔在、今在、永在的剧目（完整）
3004011 : null
3011010 : 忆域迷因「视线无处不在」
3012010 : 忆域迷因「何物藏于镜中」
3012020 : 忆域迷因「我心支离破碎」
3012040 : 忆域迷因「虚荣永无餍足」
3013010 : 忆域迷因「狂怒褪去之壳」
3013011 : 忆域迷因「狂怒褪去之壳」
3013012 : 忆域迷因「狂怒褪去之壳」
3014020 : 忆域迷因「何物朝向死亡」
3014021 : 忆域迷因「何物朝向死亡」（完整）
3024010 : 银枝
3024011 : 银枝（完整）
3024012 : 芒寒色正的银骑士
3024020 : 「星核猎手」萨姆
3024021 : 「星核猎手」萨姆（完整）
7002010 : 虚数织叶者
7003030 : 蚕食者之影
7010010 : 自动机兵「蜘蛛」
7010011 : null
7032010 : 基层员工•外勤
7033010 : 资深员工•组长
8001010 : 炎华造物
8001020 : 霜晶造物
8001030 : 无想面具
8001040 : 鸣雷造物
8001050 : 巽风造物
8002010 : 虚数织叶者
8002040 : 次元扑满
8002050 : 序列扑满
8002058 : 序列扑满
8002059 : 序列扑满（稀有）
8002060 : 毁灭扑满
8002070 : 丰饶扑满
8002080 : 存护扑满
8003010 : 外宇宙之冰
8003011 : 外宇宙之冰（错误）
8003012 : 外宇宙之冰
8003020 : 外宇宙之炎
8003021 : 外宇宙之炎
8003022 : 外宇宙之炎（错误）
8003030 : 守护者之影
8003031 : 守护者之影
8003032 : 守护者之影（错误）
8003040 : 蚕食者之影
8003041 : 蚕食者之影
8003042 : 蚕食者之影（错误）
8003050 : 兴风者
8003051 : 兴风者
8003052 : 兴风者（错误）
8011010 : 重子
8011020 : 反重子
8012010 : 虚卒•掠夺者
8012020 : 虚卒•篡改者
8012030 : 虚卒•抹消者
8013010 : 虚卒•践踏者
8013012 : 虚卒•践踏者
8013013 : 虚卒•践踏者（错误）
8013014 : 虚卒•践踏者
8015010 : null
8015012 : null
8022010 : 幼蛰虫
8024010 : 虫群•真蛰虫（完整）
8024011 : 虫群•真蛰虫
8032010 : 基层员工•外勤
8032020 : 基层员工•安保
8033010 : 资深员工•组长
8033011 : 资深员工•组长（错误）
8033012 : 资深员工•组长
8034010 : 「石心十人」诡弈砂金
8034011 : 「石心十人」诡弈砂金（完整）
8035010 : null
9002303 : null
20220501 : 丰饶灵兽•奎木


# Battle Stages
47 : [Level 40] 火焚灾影
48 : [Level 40] 外宇宙之炎
49 : [Level 40] 银鬃尉官（错误）
50 : [Level 40] 银鬃尉官
51 : [Level 42] 银鬃近卫
52 : [Level 42] 银鬃射手
53 : [Level 42] 银鬃射手
54 : [Level 42] 杰帕德
55 : [Level 42] 外宇宙之炎
56 : [Level 42] 外宇宙之冰
57 : [Level 42] 自动机兵•蜘蛛
58 : [Level 42] 自动机兵•齿狼
59 : [Level 45] 史瓦罗
60 : [Level 45] 可可利亚
61 : [Level 1] 银鬃近卫
62 : [Level 1] 银鬃射手
63 : [Level 1] 银鬃尉官
64 : [Level 1] 杰帕德
65 : [Level 1] 可可利亚
66 : [Level 1] 自动机兵•战犬
67 : [Level 1] 自动机兵•蜘蛛
68 : [Level 1] 自动机兵•灰熊
